Arizona, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,40.4,-0.3
189601,44.6,3.9
189701,41.2,0.5
189801,35.1,-5.6
189901,38.0,-2.7
190001,45.5,4.8
190101,41.5,0.8
190201,41.9,1.2
190301,41.4,0.7
190401,37.7,-3.0
190501,43.1,2.4
190601,39.0,-1.7
190701,42.2,1.5
190801,42.9,2.2
190901,45.4,4.7
191001,40.4,-0.3
191101,45.3,4.6
191201,41.4,0.7
191301,35.7,-5.0
191401,43.8,3.1
191501,38.3,-2.4
191601,40.2,-0.5
191701,36.8,-3.9
191801,38.8,-1.9
191901,35.7,-5.0
192001,41.4,0.7
192101,41.8,1.1
192201,37.6,-3.1
192301,44.4,3.7
192401,37.8,-2.9
192501,36.7,-4.0
192601,38.2,-2.5
192701,44.1,3.4
192801,41.8,1.1
192901,38.5,-2.2
193001,38.3,-2.4
193101,39.5,-1.2
193201,34.3,-6.4
193301,35.3,-5.4
193401,42.3,1.6
193501,42.2,1.5
193601,41.1,0.4
193701,28.4,-12.3
193801,43.2,2.5
193901,40.5,-0.2
194001,42.8,2.1
194101,42.1,1.4
194201,41.1,0.4
194301,42.2,1.5
194401,39.0,-1.7
194501,40.7,0.0
194601,38.8,-1.9
194701,38.0,-2.7
194801,41.2,0.5
194901,31.9,-8.8
195001,39.5,-1.2
195101,40.6,-0.1
195201,40.4,-0.3
195301,45.2,4.5
195401,42.3,1.6
195501,37.0,-3.7
195601,45.6,4.9
195701,42.6,1.9
195801,41.4,0.7
195901,43.2,2.5
196001,36.1,-4.6
196101,42.1,1.4
196201,38.8,-1.9
196301,37.3,-3.4
196401,37.4,-3.3
196501,43.3,2.6
196601,37.8,-2.9
196701,40.2,-0.5
196801,38.6,-2.1
196901,44.7,4.0
197001,40.8,0.1
197101,41.0,0.3
197201,41.2,0.5
197301,37.3,-3.4
197401,39.9,-0.8
197501,40.0,-0.7
197601,41.7,1.0
197701,39.6,-1.1
197801,43.1,2.4
197901,36.5,-4.2
198001,44.1,3.4
198101,45.8,5.1
198201,41.0,0.3
198301,42.6,1.9
198401,42.4,1.7
198501,40.4,-0.3
198601,47.5,6.8
198701,39.9,-0.8
198801,40.3,-0.4
198901,39.4,-1.3
199001,40.8,0.1
199101,40.7,0.0
199201,39.6,-1.1
199301,43.5,2.8
199401,43.2,2.5
199501,42.1,1.4
199601,44.2,3.5
199701,42.0,1.3
199801,43.8,3.1
199901,45.4,4.7
200001,45.8,5.1
200101,40.3,-0.4
200201,42.3,1.6
200301,48.8,8.1
200401,42.8,2.1
200501,45.1,4.4
200601,44.1,3.4
200701,39.0,-1.7
200801,39.8,-0.9
200901,45.2,4.5
201001,42.2,1.5
201101,41.5,0.8
201201,45.3,4.6
201301,38.6,-2.1
201401,46.5,5.8
201501,45.1,4.4
201601,41.8,1.1
201701,42.3,1.6
201801,47.6,6.9
201901,42.4,1.7
