Colorado, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,64.9,-0.3
189608,65.9,0.7
189708,64.3,-0.9
189808,66.5,1.3
189908,64.6,-0.6
190008,64.9,-0.3
190108,66.3,1.1
190208,65.7,0.5
190308,65.0,-0.2
190408,64.0,-1.2
190508,65.9,0.7
190608,63.5,-1.7
190708,64.3,-0.9
190808,63.6,-1.6
190908,66.5,1.3
191008,64.6,-0.6
191108,63.8,-1.4
191208,63.5,-1.7
191308,67.0,1.8
191408,64.5,-0.7
191508,61.6,-3.6
191608,63.5,-1.7
191708,62.5,-2.7
191808,64.6,-0.6
191908,66.4,1.2
192008,62.0,-3.2
192108,64.4,-0.8
192208,67.1,1.9
192308,63.0,-2.2
192408,64.9,-0.3
192508,63.1,-2.1
192608,65.7,0.5
192708,61.4,-3.8
192808,63.3,-1.9
192908,65.6,0.4
193008,65.1,-0.1
193108,65.4,0.2
193208,66.1,0.9
193308,64.5,-0.7
193408,67.8,2.6
193508,66.7,1.5
193608,66.9,1.7
193708,68.4,3.2
193808,67.2,2.0
193908,65.2,0.0
194008,65.3,0.1
194108,64.8,-0.4
194208,65.0,-0.2
194308,67.4,2.2
194408,65.8,0.6
194508,66.0,0.8
194608,65.3,0.1
194708,66.6,1.4
194808,65.4,0.2
194908,64.7,-0.5
195008,62.6,-2.6
195108,65.0,-0.2
195208,66.0,0.8
195308,64.5,-0.7
195408,65.6,0.4
195508,67.0,1.8
195608,63.4,-1.8
195708,65.3,0.1
195808,67.1,1.9
195908,66.2,1.0
196008,66.2,1.0
196108,66.0,0.8
196208,65.3,0.1
196308,65.7,0.5
196408,64.1,-1.1
196508,63.0,-2.2
196608,64.1,-1.1
196708,63.6,-1.6
196808,62.2,-3.0
196908,67.7,2.5
197008,67.5,2.3
197108,65.8,0.6
197208,64.5,-0.7
197308,66.0,0.8
197408,62.7,-2.5
197508,64.8,-0.4
197608,64.2,-1.0
197708,65.6,0.4
197808,64.2,-1.0
197908,63.9,-1.3
198008,65.8,0.6
198108,64.6,-0.6
198208,66.9,1.7
198308,68.6,3.4
198408,66.2,1.0
198508,66.0,0.8
198608,65.6,0.4
198708,64.0,-1.2
198808,66.9,1.7
198908,64.5,-0.7
199008,64.8,-0.4
199108,65.5,0.3
199208,63.4,-1.8
199308,63.9,-1.3
199408,67.8,2.6
199508,68.8,3.6
199608,66.1,0.9
199708,65.0,-0.2
199808,66.2,1.0
199908,65.5,0.3
200008,69.0,3.8
200108,66.9,1.7
200208,66.8,1.6
200308,68.4,3.2
200408,63.2,-2.0
200508,65.0,-0.2
200608,65.6,0.4
200708,68.8,3.6
200808,65.7,0.5
200908,64.8,-0.4
201008,66.5,1.3
201108,69.2,4.0
201208,67.7,2.5
201308,67.0,1.8
201408,64.6,-0.6
201508,66.9,1.7
201608,64.5,-0.7
201708,64.7,-0.5
201808,66.2,1.0
201908,68.3,3.1
