Oregon, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,26.8,-3.4
189601,33.2,3.0
189701,30.2,0.0
189801,26.7,-3.5
189901,33.0,2.8
190001,35.0,4.8
190101,29.7,-0.5
190201,28.5,-1.7
190301,31.4,1.2
190401,31.2,1.0
190501,31.4,1.2
190601,30.7,0.5
190701,25.8,-4.4
190801,32.6,2.4
190901,29.0,-1.2
191001,25.5,-4.7
191101,29.1,-1.1
191201,30.5,0.3
191301,26.4,-3.8
191401,34.4,4.2
191501,28.6,-1.6
191601,21.2,-9.0
191701,24.8,-5.4
191801,35.0,4.8
191901,30.8,0.6
192001,30.7,0.5
192101,30.7,0.5
192201,21.6,-8.6
192301,32.4,2.2
192401,27.2,-3.0
192501,33.5,3.3
192601,31.0,0.8
192701,30.5,0.3
192801,31.2,1.0
192901,24.3,-5.9
193001,17.9,-12.3
193101,32.4,2.2
193201,28.0,-2.2
193301,28.7,-1.5
193401,37.9,7.7
193501,30.0,-0.2
193601,31.9,1.7
193701,16.3,-13.9
193801,33.0,2.8
193901,33.2,3.0
194001,32.4,2.2
194101,33.4,3.2
194201,26.5,-3.7
194301,27.3,-2.9
194401,28.8,-1.4
194501,32.7,2.5
194601,30.8,0.6
194701,27.7,-2.5
194801,32.3,2.1
194901,16.1,-14.1
195001,22.5,-7.7
195101,29.8,-0.4
195201,26.8,-3.4
195301,39.0,8.8
195401,32.7,2.5
195501,28.4,-1.8
195601,32.1,1.9
195701,22.0,-8.2
195801,33.7,3.5
195901,35.0,4.8
196001,27.5,-2.7
196101,34.8,4.6
196201,27.3,-2.9
196301,27.4,-2.8
196401,31.6,1.4
196501,32.8,2.6
196601,32.5,2.3
196701,35.4,5.2
196801,31.6,1.4
196901,28.1,-2.1
197001,33.9,3.7
197101,33.2,3.0
197201,29.5,-0.7
197301,29.6,-0.6
197401,28.5,-1.7
197501,32.0,1.8
197601,33.5,3.3
197701,27.2,-3.0
197801,35.1,4.9
197901,22.0,-8.2
198001,30.0,-0.2
198101,35.7,5.5
198201,29.2,-1.0
198301,35.8,5.6
198401,30.6,0.4
198501,27.3,-2.9
198601,35.6,5.4
198701,29.8,-0.4
198801,30.0,-0.2
198901,30.4,0.2
199001,34.2,4.0
199101,31.6,1.4
199201,35.0,4.8
199301,26.2,-4.0
199401,36.5,6.3
199501,35.1,4.9
199601,33.2,3.0
199701,32.7,2.5
199801,35.4,5.2
199901,34.5,4.3
200001,32.4,2.2
200101,32.1,1.9
200201,31.8,1.6
200301,39.0,8.8
200401,32.0,1.8
200501,33.8,3.6
200601,35.0,4.8
200701,30.2,0.0
200801,28.5,-1.7
200901,34.2,4.0
201001,36.9,6.7
201101,33.9,3.7
201201,34.4,4.2
201301,29.7,-0.5
201401,36.7,6.5
201501,38.1,7.9
201601,33.1,2.9
201701,26.7,-3.5
201801,37.5,7.3
201901,35.3,5.1
