Vermont, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,15.0,-0.3
189601,13.5,-1.8
189701,15.9,0.6
189801,13.5,-1.8
189901,14.9,-0.4
190001,16.4,1.1
190101,14.3,-1.0
190201,13.6,-1.7
190301,15.8,0.5
190401,7.3,-8.0
190501,11.4,-3.9
190601,22.6,7.3
190701,12.6,-2.7
190801,16.3,1.0
190901,17.2,1.9
191001,17.7,2.4
191101,16.6,1.3
191201,6.2,-9.1
191301,24.9,9.6
191401,12.7,-2.6
191501,18.4,3.1
191601,18.9,3.6
191701,14.5,-0.8
191801,5.1,-10.2
191901,19.5,4.2
192001,5.5,-9.8
192101,18.0,2.7
192201,11.0,-4.3
192301,10.5,-4.8
192401,17.3,2.0
192501,10.0,-5.3
192601,16.6,1.3
192701,15.6,0.3
192801,17.9,2.6
192901,14.4,-0.9
193001,17.4,2.1
193101,14.1,-1.2
193201,27.0,11.7
193301,26.0,10.7
193401,15.5,0.2
193501,10.1,-5.2
193601,12.9,-2.4
193701,25.0,9.7
193801,13.7,-1.6
193901,15.1,-0.2
194001,8.3,-7.0
194101,11.9,-3.4
194201,15.2,-0.1
194301,10.8,-4.5
194401,17.0,1.7
194501,8.1,-7.2
194601,15.3,0.0
194701,18.1,2.8
194801,10.0,-5.3
194901,22.8,7.5
195001,23.8,8.5
195101,19.6,4.3
195201,18.6,3.3
195301,22.1,6.8
195401,11.7,-3.6
195501,13.4,-1.9
195601,18.5,3.2
195701,8.8,-6.5
195801,18.2,2.9
195901,14.1,-1.2
196001,15.8,0.5
196101,8.4,-6.9
196201,14.7,-0.6
196301,15.1,-0.2
196401,18.9,3.6
196501,12.3,-3.0
196601,15.0,-0.3
196701,21.7,6.4
196801,8.7,-6.6
196901,16.2,0.9
197001,5.0,-10.3
197101,9.1,-6.2
197201,17.2,1.9
197301,19.4,4.1
197401,18.0,2.7
197501,20.1,4.8
197601,9.4,-5.9
197701,9.2,-6.1
197801,14.0,-1.3
197901,16.8,1.5
198001,18.4,3.1
198101,7.1,-8.2
198201,6.4,-8.9
198301,18.4,3.1
198401,13.4,-1.9
198501,11.5,-3.8
198601,16.7,1.4
198701,15.5,0.2
198801,15.4,0.1
198901,20.4,5.1
199001,26.2,10.9
199101,15.7,0.4
199201,16.4,1.1
199301,19.6,4.3
199401,5.4,-9.9
199501,24.1,8.8
199601,15.1,-0.2
199701,15.9,0.6
199801,21.7,6.4
199901,17.0,1.7
200001,15.0,-0.3
200101,17.8,2.5
200201,25.2,9.9
200301,9.5,-5.8
200401,7.2,-8.1
200501,13.9,-1.4
200601,26.0,10.7
200701,19.6,4.3
200801,21.5,6.2
200901,10.9,-4.4
201001,20.1,4.8
201101,15.7,0.4
201201,21.4,6.1
201301,18.6,3.3
201401,14.6,-0.7
201501,12.2,-3.1
201601,20.9,5.6
201701,24.8,9.5
201801,16.5,1.2
201901,14.9,-0.4
