Alabama, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,43.1,-2.0
189601,43.5,-1.6
189701,41.8,-3.3
189801,49.0,3.9
189901,43.8,-1.3
190001,43.6,-1.5
190101,46.0,0.9
190201,43.2,-1.9
190301,43.4,-1.7
190401,41.1,-4.0
190501,38.6,-6.5
190601,46.2,1.1
190701,53.6,8.5
190801,43.4,-1.7
190901,49.6,4.5
191001,45.3,0.2
191101,49.9,4.8
191201,40.2,-4.9
191301,51.2,6.1
191401,47.0,1.9
191501,42.5,-2.6
191601,51.8,6.7
191701,49.7,4.6
191801,37.4,-7.7
191901,44.0,-1.1
192001,46.9,1.8
192101,49.3,4.2
192201,46.4,1.3
192301,50.9,5.8
192401,40.6,-4.5
192501,47.1,2.0
192601,43.8,-1.3
192701,47.8,2.7
192801,44.0,-1.1
192901,48.1,3.0
193001,44.8,-0.3
193101,43.7,-1.4
193201,51.9,6.8
193301,51.4,6.3
193401,48.3,3.2
193501,46.7,1.6
193601,43.1,-2.0
193701,57.0,11.9
193801,46.2,1.1
193901,48.8,3.7
194001,32.1,-13.0
194101,46.2,1.1
194201,42.5,-2.6
194301,47.7,2.6
194401,45.2,0.1
194501,44.8,-0.3
194601,46.5,1.4
194701,49.3,4.2
194801,38.5,-6.6
194901,52.7,7.6
195001,58.9,13.8
195101,46.8,1.7
195201,52.4,7.3
195301,49.0,3.9
195401,46.9,1.8
195501,44.0,-1.1
195601,42.2,-2.9
195701,48.4,3.3
195801,39.7,-5.4
195901,43.1,-2.0
196001,44.5,-0.6
196101,39.2,-5.9
196201,42.6,-2.5
196301,39.1,-6.0
196401,42.4,-2.7
196501,46.5,1.4
196601,40.0,-5.1
196701,45.4,0.3
196801,42.3,-2.8
196901,43.3,-1.8
197001,38.0,-7.1
197101,45.0,-0.1
197201,49.1,4.0
197301,43.2,-1.9
197401,55.0,9.9
197501,49.0,3.9
197601,40.6,-4.5
197701,33.3,-11.8
197801,35.6,-9.5
197901,37.8,-7.3
198001,46.7,1.6
198101,39.5,-5.6
198201,42.9,-2.2
198301,42.1,-3.0
198401,40.3,-4.8
198501,37.2,-7.9
198601,43.1,-2.0
198701,43.0,-2.1
198801,40.7,-4.4
198901,50.6,5.5
199001,49.8,4.7
199101,45.8,0.7
199201,44.1,-1.0
199301,48.8,3.7
199401,40.8,-4.3
199501,45.4,0.3
199601,43.5,-1.6
199701,45.9,0.8
199801,47.8,2.7
199901,49.4,4.3
200001,46.5,1.4
200101,41.2,-3.9
200201,46.8,1.7
200301,40.0,-5.1
200401,44.2,-0.9
200501,49.2,4.1
200601,51.1,6.0
200701,46.7,1.6
200801,43.0,-2.1
200901,45.3,0.2
201001,40.0,-5.1
201101,41.1,-4.0
201201,50.1,5.0
201301,50.0,4.9
201401,37.3,-7.8
201501,43.6,-1.5
201601,43.0,-2.1
201701,52.4,7.3
201801,40.4,-4.7
201901,46.5,1.4
