New Hampshire, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,63.1,-1.0
189608,64.6,0.5
189708,62.7,-1.4
189808,65.9,1.8
189908,63.8,-0.3
190008,65.1,1.0
190108,65.4,1.3
190208,60.7,-3.4
190308,57.6,-6.5
190408,61.6,-2.5
190508,61.6,-2.5
190608,66.6,2.5
190708,61.6,-2.5
190808,62.0,-2.1
190908,62.0,-2.1
191008,62.0,-2.1
191108,63.4,-0.7
191208,60.1,-4.0
191308,63.3,-0.8
191408,63.4,-0.7
191508,62.3,-1.8
191608,65.4,1.3
191708,66.0,1.9
191808,64.6,0.5
191908,61.7,-2.4
192008,67.0,2.9
192108,62.1,-2.0
192208,63.9,-0.2
192308,61.4,-2.7
192408,63.6,-0.5
192508,63.2,-0.9
192608,63.1,-1.0
192708,60.6,-3.5
192808,67.1,3.0
192908,61.2,-2.9
193008,62.2,-1.9
193108,63.7,-0.4
193208,65.4,1.3
193308,63.8,-0.3
193408,60.8,-3.3
193508,65.3,1.2
193608,63.4,-0.7
193708,69.1,5.0
193808,66.8,2.7
193908,67.7,3.6
194008,62.9,-1.2
194108,61.6,-2.5
194208,64.0,-0.1
194308,62.8,-1.3
194408,67.4,3.3
194508,64.1,0.0
194608,61.4,-2.7
194708,68.0,3.9
194808,66.4,2.3
194908,66.8,2.7
195008,64.0,-0.1
195108,63.1,-1.0
195208,65.0,0.9
195308,63.3,-0.8
195408,61.4,-2.7
195508,68.2,4.1
195608,62.8,-1.3
195708,61.0,-3.1
195808,64.1,0.0
195908,67.3,3.2
196008,64.2,0.1
196108,64.7,0.6
196208,63.8,-0.3
196308,61.7,-2.4
196408,59.2,-4.9
196508,64.5,0.4
196608,64.4,0.3
196708,65.1,1.0
196808,62.4,-1.7
196908,66.3,2.2
197008,66.0,1.9
197108,64.6,0.5
197208,62.8,-1.3
197308,68.7,4.6
197408,65.2,1.1
197508,64.8,0.7
197608,63.7,-0.4
197708,64.4,0.3
197808,65.1,1.0
197908,63.6,-0.5
198008,66.3,2.2
198108,63.6,-0.5
198208,61.9,-2.2
198308,66.1,2.0
198408,67.5,3.4
198508,63.6,-0.5
198608,63.1,-1.0
198708,62.3,-1.8
198808,67.6,3.5
198908,64.0,-0.1
199008,66.6,2.5
199108,66.5,2.4
199208,63.3,-0.8
199308,66.4,2.3
199408,63.5,-0.6
199508,65.5,1.4
199608,65.7,1.6
199708,64.1,0.0
199808,66.3,2.2
199908,64.6,0.5
200008,63.7,-0.4
200108,68.6,4.5
200208,68.3,4.2
200308,67.9,3.8
200408,65.7,1.6
200508,67.4,3.3
200608,63.8,-0.3
200708,65.6,1.5
200808,63.8,-0.3
200908,67.0,2.9
201008,66.0,1.9
201108,66.2,2.1
201208,68.2,4.1
201308,64.8,0.7
201408,64.0,-0.1
201508,67.6,3.5
201608,68.2,4.1
201708,64.1,0.0
201808,69.3,5.2
201908,65.5,1.4
