New Mexico, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,33.3,-0.3
189601,35.9,2.3
189701,30.2,-3.4
189801,30.5,-3.1
189901,31.1,-2.5
190001,37.5,3.9
190101,35.6,2.0
190201,34.9,1.3
190301,34.3,0.7
190401,30.8,-2.8
190501,33.9,0.3
190601,32.6,-1.0
190701,37.6,4.0
190801,34.9,1.3
190901,39.5,5.9
191001,35.6,2.0
191101,40.1,6.5
191201,33.1,-0.5
191301,29.3,-4.3
191401,37.8,4.2
191501,29.8,-3.8
191601,36.0,2.4
191701,32.5,-1.1
191801,29.6,-4.0
191901,27.0,-6.6
192001,35.0,1.4
192101,36.9,3.3
192201,31.2,-2.4
192301,38.7,5.1
192401,30.7,-2.9
192501,29.8,-3.8
192601,29.2,-4.4
192701,38.3,4.7
192801,35.7,2.1
192901,32.9,-0.7
193001,28.8,-4.8
193101,32.5,-1.1
193201,28.7,-4.9
193301,31.8,-1.8
193401,34.6,1.0
193501,37.6,4.0
193601,32.9,-0.7
193701,27.0,-6.6
193801,34.6,1.0
193901,33.2,-0.4
194001,31.6,-2.0
194101,34.5,0.9
194201,34.1,0.5
194301,35.5,1.9
194401,30.5,-3.1
194501,34.1,0.5
194601,30.8,-2.8
194701,30.7,-2.9
194801,31.3,-2.3
194901,26.8,-6.8
195001,36.4,2.8
195101,33.5,-0.1
195201,37.8,4.2
195301,39.5,5.9
195401,36.4,2.8
195501,31.8,-1.8
195601,38.4,4.8
195701,36.9,3.3
195801,32.4,-1.2
195901,34.4,0.8
196001,30.0,-3.6
196101,31.7,-1.9
196201,30.5,-3.1
196301,28.8,-4.8
196401,30.2,-3.4
196501,36.8,3.2
196601,29.2,-4.4
196701,33.6,0.0
196801,33.3,-0.3
196901,39.0,5.4
197001,32.8,-0.8
197101,34.3,0.7
197201,35.2,1.6
197301,30.6,-3.0
197401,33.7,0.1
197501,32.6,-1.0
197601,33.0,-0.6
197701,30.5,-3.1
197801,34.1,0.5
197901,29.0,-4.6
198001,36.5,2.9
198101,36.9,3.3
198201,34.7,1.1
198301,34.2,0.6
198401,32.4,-1.2
198501,31.9,-1.7
198601,39.2,5.6
198701,32.3,-1.3
198801,31.0,-2.6
198901,34.2,0.6
199001,33.6,0.0
199101,32.7,-0.9
199201,31.6,-2.0
199301,36.8,3.2
199401,35.2,1.6
199501,35.7,2.1
199601,36.3,2.7
199701,32.9,-0.7
199801,37.1,3.5
199901,39.3,5.7
200001,38.9,5.3
200101,31.8,-1.8
200201,36.0,2.4
200301,40.2,6.6
200401,36.6,3.0
200501,39.9,6.3
200601,38.2,4.6
200701,30.8,-2.8
200801,32.5,-1.1
200901,37.8,4.2
201001,33.6,0.0
201101,33.8,0.2
201201,38.6,5.0
201301,32.0,-1.6
201401,36.4,2.8
201501,35.6,2.0
201601,34.3,0.7
201701,37.2,3.6
201801,37.0,3.4
201901,35.5,1.9
