Pennsylvania, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,69.2,0.8
189608,68.7,0.3
189708,65.8,-2.6
189808,70.4,2.0
189908,69.5,1.1
190008,73.0,4.6
190108,70.1,1.7
190208,66.1,-2.3
190308,65.7,-2.7
190408,66.2,-2.2
190508,67.7,-0.7
190608,71.4,3.0
190708,65.8,-2.6
190808,67.2,-1.2
190908,67.4,-1.0
191008,67.8,-0.6
191108,69.5,1.1
191208,65.3,-3.1
191308,68.6,0.2
191408,69.1,0.7
191508,66.2,-2.2
191608,70.2,1.8
191708,69.1,0.7
191808,71.9,3.5
191908,66.3,-2.1
192008,68.6,0.2
192108,65.8,-2.6
192208,66.8,-1.6
192308,66.9,-1.5
192408,67.8,-0.6
192508,67.4,-1.0
192608,69.6,1.2
192708,63.2,-5.2
192808,71.1,2.7
192908,65.3,-3.1
193008,68.2,-0.2
193108,69.1,0.7
193208,69.5,1.1
193308,68.6,0.2
193408,66.3,-2.1
193508,69.1,0.7
193608,71.0,2.6
193708,71.6,3.2
193808,71.7,3.3
193908,71.1,2.7
194008,66.5,-1.9
194108,66.6,-1.8
194208,67.5,-0.9
194308,69.1,0.7
194408,70.3,1.9
194508,68.0,-0.4
194608,64.5,-3.9
194708,72.8,4.4
194808,68.5,0.1
194908,69.9,1.5
195008,67.4,-1.0
195108,67.8,-0.6
195208,68.6,0.2
195308,68.4,0.0
195408,67.0,-1.4
195508,72.5,4.1
195608,67.4,-1.0
195708,66.6,-1.8
195808,67.4,-1.0
195908,71.9,3.5
196008,69.7,1.3
196108,69.2,0.8
196208,67.7,-0.7
196308,65.5,-2.9
196408,65.3,-3.1
196508,67.6,-0.8
196608,69.0,0.6
196708,66.7,-1.7
196808,70.0,1.6
196908,68.5,0.1
197008,69.4,1.0
197108,67.0,-1.4
197208,67.8,-0.6
197308,70.5,2.1
197408,68.7,0.3
197508,69.8,1.4
197608,66.5,-1.9
197708,68.7,0.3
197808,70.4,2.0
197908,68.1,-0.3
198008,71.8,3.4
198108,67.5,-0.9
198208,65.1,-3.3
198308,71.3,2.9
198408,69.7,1.3
198508,68.0,-0.4
198608,66.4,-2.0
198708,68.2,-0.2
198808,71.9,3.5
198908,68.0,-0.4
199008,68.2,-0.2
199108,70.7,2.3
199208,65.4,-3.0
199308,70.2,1.8
199408,66.4,-2.0
199508,72.4,4.0
199608,68.7,0.3
199708,66.8,-1.6
199808,70.2,1.8
199908,68.5,0.1
200008,67.3,-1.1
200108,71.7,3.3
200208,71.8,3.4
200308,70.9,2.5
200408,67.9,-0.5
200508,72.0,3.6
200608,70.4,2.0
200708,70.6,2.2
200808,66.8,-1.6
200908,70.0,1.6
201008,70.8,2.4
201108,69.4,1.0
201208,69.8,1.4
201308,67.6,-0.8
201408,66.9,-1.5
201508,68.9,0.5
201608,73.4,5.0
201708,67.4,-1.0
201808,72.1,3.7
201908,69.6,1.2
